repeat,variant,batch,context_len,decode_ms_per_token
0,unfused_INT4,1,128,110.20201416015625
1,unfused_INT4,1,128,110.3233154296875
2,unfused_INT4,1,128,112.2252685546875
0,k1_fused,1,128,74.59293212890626
1,k1_fused,1,128,74.21129760742187
2,k1_fused,1,128,74.36007690429688
0,k1_k2_fused,1,128,68.31097412109375
1,k1_k2_fused,1,128,67.211328125
2,k1_k2_fused,1,128,68.239697265625
0,attention_fused_current,1,128,51.443212890625
1,attention_fused_current,1,128,52.310595703125
2,attention_fused_current,1,128,52.34688720703125
0,full_fused_current,1,128,40.59725341796875
1,full_fused_current,1,128,40.59082946777344
2,full_fused_current,1,128,40.615673828125
0,full_fused_hadacore256,1,128,40.671347045898436
1,full_fused_hadacore256,1,128,40.61876525878906
2,full_fused_hadacore256,1,128,40.57027893066406
0,unfused_INT4,1,4096,111.538720703125
1,unfused_INT4,1,4096,110.9681640625
2,unfused_INT4,1,4096,108.927197265625
0,k1_fused,1,4096,87.57859497070312
1,k1_fused,1,4096,87.56784057617188
2,k1_fused,1,4096,87.54766235351562
0,k1_k2_fused,1,4096,68.80345458984375
1,k1_k2_fused,1,4096,68.84534912109375
2,k1_k2_fused,1,4096,68.77186279296875
0,attention_fused_current,1,4096,55.63240966796875
1,attention_fused_current,1,4096,55.60884399414063
2,attention_fused_current,1,4096,55.648193359375
0,full_fused_current,1,4096,48.025106811523436
1,full_fused_current,1,4096,48.01162414550781
2,full_fused_current,1,4096,48.00666809082031
0,full_fused_hadacore256,1,4096,48.051309204101564
1,full_fused_hadacore256,1,4096,48.047787475585935
2,full_fused_hadacore256,1,4096,48.061224365234374
0,unfused_INT4,4,1024,110.29139404296875
1,unfused_INT4,4,1024,110.37799072265625
2,unfused_INT4,4,1024,110.233251953125
0,k1_fused,4,1024,83.44967041015624
1,k1_fused,4,1024,83.45198974609374
2,k1_fused,4,1024,83.44386596679688
0,k1_k2_fused,4,1024,68.68971557617188
1,k1_k2_fused,4,1024,68.66275024414062
2,k1_k2_fused,4,1024,68.66234741210937
0,attention_fused_current,4,1024,51.614752197265624
1,attention_fused_current,4,1024,52.46077880859375
2,attention_fused_current,4,1024,51.5244140625
0,full_fused_current,4,1024,43.253564453125
1,full_fused_current,4,1024,43.234622192382815
2,full_fused_current,4,1024,43.19427490234375
0,full_fused_hadacore256,4,1024,43.255279541015625
1,full_fused_hadacore256,4,1024,43.223855590820314
2,full_fused_hadacore256,4,1024,43.26591186523437
