variant,batch,context_len,samples,mean,median,std,p50,p90,p95,min,max,speedup_vs_unfused_INT4
attention_fused_current,1,128,3,52.033565266927084,52.310595703125,0.5115820701198234,52.310595703125,52.339628906250006,52.34325805664062,51.443212890625,52.34688720703125,2.131640710744775
full_fused_current,1,128,3,40.60125223795573,40.59725341796875,0.012895870706769251,40.59725341796875,40.61198974609375,40.61383178710937,40.59082946777344,40.615673828125,2.731858253979847
full_fused_hadacore256,1,128,3,40.620130411783855,40.61876525878906,0.05054788532947435,40.61876525878906,40.66083068847656,40.6660888671875,40.57027893066406,40.671347045898436,2.730588624993686
k1_fused,1,128,3,74.38810221354167,74.36007690429688,0.19235459564526602,74.36007690429688,74.54636108398438,74.56964660644532,74.21129760742187,74.59293212890626,1.4910565365651403
k1_k2_fused,1,128,3,67.92066650390625,68.239697265625,0.6153379554142515,68.239697265625,68.29671875,68.30384643554687,67.211328125,68.31097412109375,1.633035595164515
unfused_INT4,1,128,3,110.91686604817708,110.3233154296875,1.1347318356244052,110.3233154296875,111.8448779296875,112.03507324218751,110.20201416015625,112.2252685546875,1.0
attention_fused_current,1,4096,3,55.629815673828126,55.63240966796875,0.0198025185339694,55.63240966796875,55.64503662109375,55.646614990234376,55.60884399414063,55.648193359375,1.9859499084359906
full_fused_current,1,4096,3,48.01446634928385,48.01162414550781,0.00954228468556481,48.01162414550781,48.022410278320315,48.023758544921876,48.00666809082031,48.025106811523436,2.300932109503656
full_fused_hadacore256,1,4096,3,48.05344034830729,48.051309204101564,0.006967340423381323,48.051309204101564,48.05924133300782,48.06023284912109,48.047787475585935,48.061224365234374,2.29906592624729
k1_fused,1,4096,3,87.5646993001302,87.56784057617188,0.015703738818976333,87.56784057617188,87.57644409179687,87.57751953125,87.54766235351562,87.57859497070312,1.261673119724694
k1_k2_fused,1,4096,3,68.80688883463542,68.80345458984375,0.03686333725113055,68.80345458984375,68.83697021484375,68.84115966796875,68.77186279296875,68.84534912109375,1.6056245125290205
unfused_INT4,1,4096,3,110.47802734375,110.9681640625,1.3730219111336905,110.9681640625,111.424609375,111.4816650390625,108.927197265625,111.538720703125,1.0
attention_fused_current,4,1024,3,51.86664835611979,51.614752197265624,0.516510881362549,51.614752197265624,52.291573486328126,52.37617614746094,51.5244140625,52.46077880859375,2.126624380062444
full_fused_current,4,1024,3,43.22748718261719,43.234622192382815,0.03028190848059838,43.234622192382815,43.24977600097656,43.25167022705079,43.19427490234375,43.253564453125,2.5516375365580966
full_fused_hadacore256,4,1024,3,43.248348999023435,43.255279541015625,0.02186794145837127,43.255279541015625,43.26378540039062,43.264848632812495,43.223855590820314,43.26591186523437,2.5504066966519496
k1_fused,4,1024,3,83.4485087076823,83.44967041015624,0.004184628059283742,83.44967041015624,83.45152587890624,83.45175781249999,83.44386596679688,83.45198974609374,1.3217837036804432
k1_k2_fused,4,1024,3,68.67160441080729,68.66275024414062,0.015686022490067918,68.66275024414062,68.68432250976562,68.68701904296876,68.66234741210937,68.68971557617188,1.6062079785759493
unfused_INT4,4,1024,3,110.30087890625,110.29139404296875,0.0728340567657241,110.29139404296875,110.36067138671875,110.3693310546875,110.233251953125,110.37799072265625,1.0
