workload,counter,samples,nonzero_samples,sum,mean,min,max,status
fused_current_B1_L128_counters,CU_NUM,16423,16423,1051072.0,64.0,64.0,64.0,nonzero
fused_current_B1_L128_counters,GRBM_COUNT,16423,16423,1187428379.0,72302.76922608537,23145.0,6103117.0,nonzero
fused_current_B1_L128_counters,GRBM_GUI_ACTIVE,16423,16423,1187428379.0,72302.76922608537,23145.0,6103117.0,nonzero
fused_current_B1_L128_counters,SIMD_NUM,16423,16423,2102144.0,128.0,128.0,128.0,nonzero
fused_current_B1_L128_counters,SQ_WAVES_sum,16423,16423,4004549.0,243.83784935760823,1.0,7168.0,nonzero
fused_current_B1_L128_probe0,FetchSize,16423,0,0.0,0.0,0.0,0.0,all_zero
fused_current_B1_L128_probe1,GL2C_EA_RDREQ_64B_sum,16423,0,0.0,0.0,0.0,0.0,all_zero
fused_current_B1_L128_probe1,GL2C_EA_WRREQ_64B_sum,16423,0,0.0,0.0,0.0,0.0,all_zero
fused_current_B1_L128_probe2,SQC_LDS_BANK_CONFLICT,16423,0,0.0,0.0,0.0,0.0,all_zero
fused_current_B1_L128_probe2,SQC_LDS_IDX_ACTIVE,16423,0,0.0,0.0,0.0,0.0,all_zero
fused_current_B1_L128_probe2,SQ_INSTS_LDS,16423,0,0.0,0.0,0.0,0.0,all_zero
fused_current_B1_L128_probe3,MeanOccupancyPerCU,16423,0,0.0,0.0,0.0,0.0,all_zero
fused_current_B1_L4096_counters,CU_NUM,20390,20390,1304960.0,64.0,64.0,64.0,nonzero
fused_current_B1_L4096_counters,GRBM_COUNT,20390,20390,3570534626.0,175112.0463952918,24008.0,18800693.0,nonzero
fused_current_B1_L4096_counters,GRBM_GUI_ACTIVE,20390,20390,3570534626.0,175112.0463952918,24008.0,18800693.0,nonzero
fused_current_B1_L4096_counters,SIMD_NUM,20390,20390,2609920.0,128.0,128.0,128.0,nonzero
fused_current_B1_L4096_counters,SQ_WAVES_sum,20390,20390,106217312.0,5209.284551250613,4.0,229376.0,nonzero
fused_current_B4_L1024_counters,CU_NUM,20393,20393,1305152.0,64.0,64.0,64.0,nonzero
fused_current_B4_L1024_counters,GRBM_COUNT,20393,20393,3067611753.0,150424.74147991958,23134.0,9785702.0,nonzero
fused_current_B4_L1024_counters,GRBM_GUI_ACTIVE,20393,20393,3067611753.0,150424.74147991958,23134.0,9785702.0,nonzero
fused_current_B4_L1024_counters,SIMD_NUM,20393,20393,2610304.0,128.0,128.0,128.0,nonzero
fused_current_B4_L1024_counters,SQ_WAVES_sum,20393,20393,107105872.0,5252.090030892953,4.0,229376.0,nonzero
fused_hadacore256_B1_L128_counters,CU_NUM,16423,16423,1051072.0,64.0,64.0,64.0,nonzero
fused_hadacore256_B1_L128_counters,GRBM_COUNT,16423,16423,1194232659.0,72717.08329781404,23232.0,6210902.0,nonzero
fused_hadacore256_B1_L128_counters,GRBM_GUI_ACTIVE,16423,16423,1194232659.0,72717.08329781404,23232.0,6210902.0,nonzero
fused_hadacore256_B1_L128_counters,SIMD_NUM,16423,16423,2102144.0,128.0,128.0,128.0,nonzero
fused_hadacore256_B1_L128_counters,SQ_WAVES_sum,16423,16423,3923909.0,238.92766242464836,1.0,7168.0,nonzero
fused_hadacore256_B1_L4096_counters,CU_NUM,20390,20390,1304960.0,64.0,64.0,64.0,nonzero
fused_hadacore256_B1_L4096_counters,GRBM_COUNT,20390,20390,3571421170.0,175155.52574791564,24386.0,19573267.0,nonzero
