workload,rank,category,kernel,calls_per_token,total_ms_per_token,average_us,min_us,max_us,lds_block_bytes,vgpr_count,sgpr_count,scratch_bytes,workgroup_size,grid_size
fused_current_B1_L128,1,rocBLAS_GEMM,Cijk_Alik_Bljk_HHS_BH_Bias_HA_S_SAV_UserArgs_MT128x128x32_MI16x16x1_SN_LDSB0_AFC1_AFEM1_AFEM1_ASEM1_CLR0_CADS0_DTLA0_DTLB0_DTVA0_DTVB1_EPS0_FDSI0_GRPM1_GRVWA4_GRVWB8_GSUAMB_GLS0_ISA1201_IU1_K1_LDSTI0_LBSPPA128_LBSPPB0_LBSPPM0_LPA16_LPB0_LPM,161.0,30.757824,191.04238509316772,72.09,1834.236,26624,256,128,0,128,128256
fused_current_B1_L128,2,rocBLAS_GEMM,Cijk_Alik_Bljk_HHS_BH_Bias_HA_S_SAV_UserArgs_MT16x16x32_MI16x16x1_SN_LDSB0_AFC1_AFEM1_AFEM1_ASEM1_CLR1_CADS0_DTLA0_DTLB0_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB8_GSUAMB_GLS0_ISA1201_IU1_K1_LDSTI0_LBSPPA128_LBSPPB128_LBSPPM0_LPA16_LPB16_LP,64.0,1.8097673333333333,28.27761458333333,23.968,45.204,6656,128,128,0,32,2048
fused_current_B1_L128,3,PyTorch_elementwise_copy_reduce,"void at::native::elementwise_kernel_manual_unroll<128, 4, at::native::gpu_kernel_impl<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::T",129.0,0.53418,4.140930232558139,0.076,19.784,0,16,128,0,128,1792
fused_current_B1_L128,4,PyTorch_elementwise_copy_reduce,"void at::native::elementwise_kernel_manual_unroll<128, 4, at::native::gpu_kernel_impl<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#5}::operator()() const::{lambda(short)#1}>(at::T",128.0,0.49645133333333336,3.8785260416666665,0.096,18.886,0,16,128,0,128,1792
fused_current_B1_L128,5,PyTorch_elementwise_copy_reduce,"void at::native::elementwise_kernel_manual_unroll<128, 4, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}",128.0,0.48988800000000005,3.82725,2.402,15.89,0,24,128,0,128,1792
fused_current_B1_L128,6,PyTorch_elementwise_copy_reduce,"void at::native::elementwise_kernel_manual_unroll<128, 4, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFuncto",129.0,0.46204399999999995,3.581736434108527,1.148,17.752,0,24,128,0,128,3584
fused_current_B1_L128,7,PyTorch_elementwise_copy_reduce,"void at::native::elementwise_kernel_manual_unroll<128, 8, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::",128.0,0.439436,3.43309375,0.514,15.946,0,48,128,0,128,512
fused_current_B1_L128,8,K2_INT4,"void flashinfer::BatchDecodeWithPagedKVGQAKernel<(flashinfer::RotaryMode)0, false, 16ul, 8ul, 16ul, 2ul, __half, flashinfer::quant::__precision__s4, __half, int>(__half*, flashinfer::paged_kv_t<flashinfer::quant::__precision__s4, int>, __ha",32.0,0.411024,12.8445,3.894,25.366,8704,80,128,0,128,4096
fused_current_B1_L128,9,PyTorch_elementwise_copy_reduce,"void at::native::vectorized_elementwise_kernel<16, at::native::AUnaryFunctor<unsigned char, unsigned char, unsigned char, at::native::BitwiseAndFunctor<unsigned char> >, std::array<char*, 2ul> >(int, at::native::AUnaryFunctor<unsigned char,",128.0,0.31943933333333335,2.4956197916666665,1.054,15.712,0,32,128,0,256,512
fused_current_B1_L128,10,PyTorch_elementwise_copy_reduce,"void at::native::(anonymous namespace)::CatArrayBatchedCopy<at::native::(anonymous namespace)::OpaqueType<2u>, unsigned int, 4, 64, 64>(at::native::(anonymous namespace)::OpaqueType<2u>*, at::native::(anonymous namespace)::CatArrInputTensor",64.0,0.3071986666666667,4.799979166666667,1.992,16.968,0,16,128,0,256,512
fused_current_B1_L128,11,PyTorch_elementwise_copy_reduce,"void at::native::vectorized_elementwise_kernel<4, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#",131.0,0.279648,2.134717557251909,1.442,14.86,0,16,128,0,256,1792
fused_current_B1_L128,12,PyTorch_elementwise_copy_reduce,"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::MeanOps<float, float, float, float>, unsigned int, float, 4, 4> >(at::native::ReduceOp<float, at::native::MeanOps<float, float, float, float>, unsigned int, floa",65.0,0.27765066666666666,4.271548717948718,0.36,15.54,512,32,128,0,512,512
fused_current_B1_L128,13,PyTorch_elementwise_copy_reduce,"void at::native::vectorized_elementwise_kernel<8, at::native::CUDAFunctorOnSelf_add<short>, std::array<char*, 2ul> >(int, at::native::CUDAFunctorOnSelf_add<short>, std::array<char*, 2ul>)",128.0,0.2756713333333333,2.1536822916666667,1.38,15.712,0,16,128,0,256,1024
