batch,seq_len,q_heads,kv_heads,dtype,gqa_latency_ms,expanded_reference_latency_ms,speedup_vs_expanded,max_error,mean_error,mean_relative_error
1,10,32,8,f16,0.00790565013885498,0.006320749968290329,0.7995231078118262,0.0,0.0,0.0
1,10,32,8,i4,0.0059519998729228975,0.006498400121927261,1.091801119064211,0.0,0.0,0.0
1,128,32,8,f16,0.01778690069913864,0.01657249927520752,0.9317249562207356,0.0,0.0,0.0
1,128,32,8,i4,0.01699090003967285,0.016287350654602052,0.9585925770013332,0.0,0.0,0.0
1,1024,32,8,f16,0.08991605043411255,0.08487834930419921,0.943973282794435,0.0,0.0,0.0
1,1024,32,8,i4,0.05396745204925537,0.05417010188102722,1.0037550379733862,0.0,0.0,0.0
1,4096,32,8,f16,0.3280724048614502,0.3314972400665283,1.010439266315387,0.0,0.0,0.0
1,4096,32,8,i4,0.20054004192352295,0.2023524045944214,1.0090374104518718,0.0,0.0,0.0
2,10,32,8,f16,0.013246250152587891,0.011979849636554718,0.9043955458001252,0.0,0.0,0.0
2,10,32,8,i4,0.013458900153636932,0.012697049975395202,0.9433943212636243,0.0,0.0,0.0
2,128,32,8,f16,0.014713099598884583,0.0137425497174263,0.9340349818924721,0.0,0.0,0.0
2,128,32,8,i4,0.011740300059318542,0.011750750243663788,1.0008901122026221,0.0,0.0,0.0
2,1024,32,8,f16,0.08520764708518982,0.08578605055809022,1.0067881638877096,0.0,0.0,0.0
2,1024,32,8,i4,0.05485290288925171,0.055332452058792114,1.0087424574504036,0.0,0.0,0.0
2,4096,32,8,f16,0.32976861000061036,0.41489429473876954,1.2581376218251992,0.0,0.0,0.0
2,4096,32,8,i4,0.20213348865509034,0.2017141103744507,0.9979252409710533,0.0,0.0,0.0
4,10,32,8,f16,0.012052500247955322,0.010732150077819825,0.8904501022217783,0.0,0.0,0.0
4,10,32,8,i4,0.009510400146245957,0.00949695035815239,0.9985857810516127,0.0,0.0,0.0
4,128,32,8,f16,0.014244100451469422,0.014956599473953247,1.0500206401177354,0.0,0.0,0.0
4,128,32,8,i4,0.014476099610328674,0.01430625021457672,0.9882669088826409,0.0,0.0,0.0
4,1024,32,8,f16,0.08629884719848632,0.09404665231704712,1.0897787788606368,0.0,0.0,0.0
4,1024,32,8,i4,0.059290248155593875,0.05990049839019775,1.0102925903261935,0.0,0.0,0.0
4,4096,32,8,f16,0.3450072526931763,0.4660468578338623,1.3508320598939108,0.0,0.0,0.0
4,4096,32,8,i4,0.2192521095275879,0.25411534309387207,1.1590097976316047,0.0,0.0,0.0
8,10,32,8,f16,0.011816850304603577,0.00849044993519783,0.7185036381386792,0.0,0.0,0.0
8,10,32,8,i4,0.013949550688266754,0.013924899697303771,0.9982328469558724,0.0,0.0,0.0
8,128,32,8,f16,0.024421049654483794,0.027610498666763305,1.1306024539241668,0.0,0.0,0.0
8,128,32,8,i4,0.01942020058631897,0.019426949322223663,1.0003475111327864,0.0,0.0,0.0
8,1024,32,8,f16,0.16577504873275756,0.29231700897216795,1.7633353825364033,0.0,0.0,0.0
8,1024,32,8,i4,0.07648069858551025,0.0749594509601593,0.9801093916048622,0.0,0.0,0.0
8,4096,32,8,f16,0.8301878929138183,1.1520206451416015,1.3876625460029355,0.0,0.0,0.0
8,4096,32,8,i4,0.28173465728759767,0.3112910509109497,1.1049086183003058,0.0,0.0,0.0
