batch,seq_len,ffn_hidden,variant,latency_ms,speedup_vs_unfused_INT4
1,10,11008,quarot_unfused,8.199745814005533,1.0
1,10,11008,k1_fused,7.78030522664388,1.0539105568667495
1,10,11008,k1_k2_fused,3.3846747080485025,2.422609710323758
1,10,11008,attention_fused_current,1.7536737124125164,4.675753394698037
1,10,11008,attention_fused_hadacore256,1.6717309951782227,4.904943341755389
1,10,11008,full_fused_current,0.9924050172170004,8.262499354346339
1,10,11008,full_fused_hadacore256_ffn,1.2022837003072102,6.820142210952636
1,10,11008,full_fused_hadacore256_k3_ffn,1.113874355951945,7.361463858280339
1,10,14336,quarot_unfused,4.627982457478841,1.0
1,10,14336,k1_fused,2.5501516660054526,1.8147871435145244
1,10,14336,k1_k2_fused,2.39329465230306,1.9337286585357751
1,10,14336,attention_fused_current,1.6472323735555012,2.8095504506686453
1,10,14336,attention_fused_hadacore256,1.6385760307312012,2.8243928695903366
1,10,14336,full_fused_current,1.0952226320902507,4.225608859676556
1,10,14336,full_fused_hadacore256_ffn,1.092087984085083,4.237737732602213
1,10,14336,full_fused_hadacore256_k3_ffn,1.1011353333791096,4.202918857645515
1,128,11008,quarot_unfused,4.801711082458496,1.0
1,128,11008,k1_fused,2.730602582295736,1.7584803858280575
1,128,11008,k1_k2_fused,3.0854676564534507,1.5562344568465702
1,128,11008,attention_fused_current,1.8057926495869954,2.6590600441067807
1,128,11008,attention_fused_hadacore256,2.712052345275879,1.7705082613256309
1,128,11008,full_fused_current,1.0501423676808674,4.57243820479559
1,128,11008,full_fused_hadacore256_ffn,1.0115060011545818,4.7470910473863634
1,128,11008,full_fused_hadacore256_k3_ffn,1.0085539817810059,4.760985697542091
1,128,14336,quarot_unfused,5.134535153706868,1.0
1,128,14336,k1_fused,2.907878557840983,1.765732320513108
1,128,14336,k1_k2_fused,2.6059722900390625,1.9702953762527933
1,128,14336,attention_fused_current,1.8894480069478352,2.7174789329085915
1,128,14336,attention_fused_hadacore256,2.075315316518148,2.474098809390235
1,128,14336,full_fused_current,1.108799695968628,4.630714792198268
1,128,14336,full_fused_hadacore256_ffn,1.1342559655507405,4.526786994868291
1,128,14336,full_fused_hadacore256_k3_ffn,1.1040407021840413,4.650675598779647
1,1024,11008,quarot_unfused,4.441740989685059,1.0
1,1024,11008,k1_fused,2.8458474477132163,1.5607797224880147
1,1024,11008,k1_k2_fused,2.389817714691162,1.8586107895928239
1,1024,11008,attention_fused_current,1.6691336631774902,2.6611056308273247
1,1024,11008,attention_fused_hadacore256,1.6792759895324707,2.6450333461396593
1,1024,11008,full_fused_current,1.032192309697469,4.303210698195294
1,1024,11008,full_fused_hadacore256_ffn,1.0325829982757568,4.301582533415748
1,1024,11008,full_fused_hadacore256_k3_ffn,1.028939962387085,4.316812595538091
1,1024,14336,quarot_unfused,4.3389892578125,1.0
1,1024,14336,k1_fused,2.5567612648010254,1.6970646878718936
1,1024,14336,k1_k2_fused,2.359852949778239,1.83866933667212
1,1024,14336,attention_fused_current,1.6486236254374187,2.6318858900625446
1,1024,14336,attention_fused_hadacore256,1.6434063911437988,2.640241197305187
1,1024,14336,full_fused_current,1.137675682703654,3.8139070068730088
1,1024,14336,full_fused_hadacore256_ffn,1.1349426905314128,3.8230910635504074
1,1024,14336,full_fused_hadacore256_k3_ffn,1.1393983364105225,3.8081407696993272
1,4096,11008,quarot_unfused,5.741362889607747,1.0
1,4096,11008,k1_fused,4.769552866617839,1.2037528569589027
1,4096,11008,k1_k2_fused,7.329928716023763,0.7832767700805474
1,4096,11008,attention_fused_current,2.9318888982137046,1.95824708538777
1,4096,11008,attention_fused_hadacore256,2.0537916819254556,2.7954942753615337
1,4096,11008,full_fused_current,1.1835540135701497,4.850951307485431
1,4096,11008,full_fused_hadacore256_ffn,1.1798082987467449,4.866352352078323
1,4096,11008,full_fused_hadacore256_k3_ffn,1.189162015914917,4.828074570806451
1,4096,14336,quarot_unfused,7.166690190633138,1.0
1,4096,14336,k1_fused,5.000448862711589,1.4332093752773352
1,4096,14336,k1_k2_fused,2.352824052174886,3.045994954024907
1,4096,14336,attention_fused_current,1.6360356012980144,4.380522150585939
1,4096,14336,attention_fused_hadacore256,2.351330598195394,3.0479296259460282
1,4096,14336,full_fused_current,1.3170440196990967,5.441496323160483
1,4096,14336,full_fused_hadacore256_ffn,1.423754374186198,5.033656310787131
1,4096,14336,full_fused_hadacore256_k3_ffn,1.3847643534342449,5.1753861029565025
2,10,11008,quarot_unfused,5.091928799947103,1.0
2,10,11008,k1_fused,2.710453987121582,1.878625803699613
2,10,11008,k1_k2_fused,2.4947293599446616,2.0410746278546434
2,10,11008,attention_fused_current,1.7418115933736165,2.9233522266807475
2,10,11008,attention_fused_hadacore256,1.7415413856506348,2.9238057974974696
2,10,11008,full_fused_current,1.003993034362793,5.0716774177410615
2,10,11008,full_fused_hadacore256_ffn,1.0221326351165771,4.981671287079444
2,10,11008,full_fused_hadacore256_k3_ffn,1.0071369806925456,5.055845329446347
2,10,14336,quarot_unfused,5.406493504842122,1.0
2,10,14336,k1_fused,2.7265955607096353,1.9828732881216182
2,10,14336,k1_k2_fused,2.87416934967041,1.8810629601425892
2,10,14336,attention_fused_current,1.8070519765218098,2.9918859972409155
2,10,14336,attention_fused_hadacore256,1.7573490142822266,3.076505270667794
2,10,14336,full_fused_current,1.1717223326365154,4.6141422368189104
2,10,14336,full_fused_hadacore256_ffn,1.2278353373209636,4.4032724425725105
2,10,14336,full_fused_hadacore256_k3_ffn,1.1104356447855632,4.868803996188516
2,128,11008,quarot_unfused,13.432496388753256,1.0
2,128,11008,k1_fused,2.540377934773763,5.287597646351587
2,128,11008,k1_k2_fused,2.334249973297119,5.754523526792593
2,128,11008,attention_fused_current,1.6556812922159831,8.112972256136956
2,128,11008,attention_fused_hadacore256,1.6440863609313965,8.170189053294969
2,128,11008,full_fused_current,1.0008856455485027,13.420610484819187
2,128,11008,full_fused_hadacore256_ffn,1.0040143330891926,13.378789471484533
2,128,11008,full_fused_hadacore256_k3_ffn,1.0067346890767415,13.342637871226987
2,128,14336,quarot_unfused,5.77786382039388,1.0
2,128,14336,k1_fused,2.8069067001342773,2.058445270060981
2,128,14336,k1_k2_fused,5.343259175618489,1.0813369949858525
2,128,14336,attention_fused_current,2.4725534121195474,2.3368004072522424
2,128,14336,attention_fused_hadacore256,1.7577706972757976,3.287040698396238
2,128,14336,full_fused_current,1.1156623363494873,5.178864278325815
2,128,14336,full_fused_hadacore256_ffn,1.119132359822591,5.162806498875439
2,128,14336,full_fused_hadacore256_k3_ffn,1.1221356391906738,5.148988784066328
2,1024,11008,quarot_unfused,4.456381479899089,1.0
2,1024,11008,k1_fused,2.9466784795125327,1.5123405932758247
2,1024,11008,k1_k2_fused,2.4181346893310547,1.8429004387393693
2,1024,11008,attention_fused_current,1.6744364102681477,2.661421749175554
2,1024,11008,attention_fused_hadacore256,1.6754213968912761,2.659857089188338
2,1024,11008,full_fused_current,1.0415539741516113,4.278589099070929
2,1024,11008,full_fused_hadacore256_ffn,1.043729305267334,4.269671702623757
2,1024,11008,full_fused_hadacore256_k3_ffn,1.0506292978922527,4.241630695849977
2,1024,14336,quarot_unfused,4.503671964009603,1.0
2,1024,14336,k1_fused,3.0576864878336587,1.4729018105451388
2,1024,14336,k1_k2_fused,2.409666061401367,1.86900252950006
2,1024,14336,attention_fused_current,1.6865193049112956,2.670394552196649
2,1024,14336,attention_fused_hadacore256,1.6951346397399902,2.656822566436612
2,1024,14336,full_fused_current,1.1551856994628906,3.8986562646192793
2,1024,14336,full_fused_hadacore256_ffn,1.1965710322062175,3.7638149702703467
2,1024,14336,full_fused_hadacore256_k3_ffn,1.2285850048065186,3.6657389976193424
2,4096,11008,quarot_unfused,10.528868357340494,1.0
2,4096,11008,k1_fused,7.837792078653972,1.3433462194047736
2,4096,11008,k1_k2_fused,2.3800737063090005,4.423757268285855
2,4096,11008,attention_fused_current,1.6990826924641926,6.196795720442774
2,4096,11008,attention_fused_hadacore256,1.6716677347819011,6.2984217128017805
