batch,context_len,variant,reference,max_error,mean_error,mean_relative_error,top1_match,top10_overlap,kl_ref_to_out
1,10,fp16_manual,fp16_hf,0.015625,0.0024637391325086355,0.006359992083162069,1.0,1.0,3.430860715525341e-07
1,10,quarot_unfused,fp16_hf,18.865234375,2.0110538005828857,4.975946426391602,0.0,0.0,6.933807849884033
1,10,fused_quarot,fp16_hf,18.9921875,2.02238392829895,4.949405670166016,0.0,0.0,6.626405239105225
1,10,fused_quarot,quarot_unfused,1.650390625,0.26152077317237854,1.2245111465454102,1.0,0.8,0.022368017584085464
1,128,fp16_manual,fp16_hf,0.015625,0.0030233284924179316,0.02153993956744671,1.0,1.0,1.5807387399036088e-07
1,128,quarot_unfused,fp16_hf,12.056640625,1.9642589092254639,16.721529006958008,1.0,0.1,0.5223711133003235
1,128,fused_quarot,fp16_hf,12.150390625,1.959976077079773,16.860061645507812,1.0,0.1,0.6892943382263184
1,128,fused_quarot,quarot_unfused,1.25,0.19179792702198029,0.6855798363685608,1.0,0.9,0.02372579649090767
1,1024,fp16_manual,fp16_hf,0.015625,0.002048943191766739,0.013425224460661411,1.0,1.0,-9.794393918127753e-08
1,1024,quarot_unfused,fp16_hf,12.26953125,2.0602920055389404,11.113525390625,1.0,0.1,0.36628109216690063
1,1024,fused_quarot,fp16_hf,12.23046875,2.0669169425964355,11.206674575805664,1.0,0.1,0.3850190043449402
1,1024,fused_quarot,quarot_unfused,1.0390625,0.14226846396923065,1.1801986694335938,1.0,0.9,0.005660858005285263
2,10,fp16_manual,fp16_hf,0.015625,0.0021236129105091095,0.005700616631656885,1.0,1.0,8.588249329477549e-06
2,10,quarot_unfused,fp16_hf,18.8671875,2.007044553756714,4.933387756347656,0.0,0.0,6.785223960876465
2,10,fused_quarot,fp16_hf,19.3115234375,2.0063581466674805,5.037565231323242,0.0,0.0,7.0051069259643555
2,10,fused_quarot,quarot_unfused,1.744140625,0.27249687910079956,1.1548926830291748,1.0,0.8500000000000001,0.05701909214258194
2,128,fp16_manual,fp16_hf,0.015625,0.0025961827486753464,0.024151381105184555,1.0,1.0,3.5816538002109155e-07
2,128,quarot_unfused,fp16_hf,12.169921875,1.9654536247253418,12.059938430786133,1.0,0.1,0.49574655294418335
2,128,fused_quarot,fp16_hf,12.388671875,1.966306209564209,14.954930305480957,1.0,0.1,0.5823996663093567
2,128,fused_quarot,quarot_unfused,1.6806640625,0.19278155267238617,0.718604564666748,1.0,0.9,0.014954563230276108
2,1024,fp16_manual,fp16_hf,0.015625,0.0020678455475717783,0.015675336122512817,1.0,1.0,-5.864410468348069e-08
2,1024,quarot_unfused,fp16_hf,12.35546875,2.0665578842163086,11.94799518585205,1.0,0.1,0.375135600566864
2,1024,fused_quarot,fp16_hf,12.37890625,2.074617624282837,12.042484283447266,1.0,0.1,0.3664363920688629
2,1024,fused_quarot,quarot_unfused,1.0390625,0.14740829169750214,0.95177161693573,1.0,0.9,0.004897351376712322
4,10,fp16_manual,fp16_hf,0.015625,0.0024001107085496187,0.007649735081940889,1.0,1.0,2.0881270756945014e-06
4,10,quarot_unfused,fp16_hf,19.1748046875,2.011768341064453,6.199261665344238,0.0,0.0,7.117836952209473
4,10,fused_quarot,fp16_hf,19.3115234375,2.015019416809082,6.283041477203369,0.0,0.0,7.012191295623779
4,10,fused_quarot,quarot_unfused,1.744140625,0.2675240933895111,1.0637505054473877,1.0,0.875,0.04741062968969345
4,128,fp16_manual,fp16_hf,0.015625,0.0023817773908376694,0.01226605474948883,1.0,1.0,3.537461452651769e-07
4,128,quarot_unfused,fp16_hf,12.291015625,1.957912564277649,10.503073692321777,1.0,0.1,0.6602922677993774
4,128,fused_quarot,fp16_hf,12.15625,1.9601105451583862,10.572975158691406,1.0,0.1,0.6920023560523987
4,128,fused_quarot,quarot_unfused,1.509765625,0.19488151371479034,0.8686394095420837,1.0,0.9249999999999999,0.017702987417578697
4,1024,fp16_manual,fp16_hf,0.01953125,0.0021979808807373047,0.012439912185072899,1.0,1.0,-7.377668964636541e-08
4,1024,quarot_unfused,fp16_hf,12.44140625,2.0665390491485596,10.539266586303711,1.0,0.1,0.39430516958236694
4,1024,fused_quarot,fp16_hf,12.376953125,2.0762929916381836,10.735250473022461,1.0,0.1,0.3544100522994995
4,1024,fused_quarot,quarot_unfused,1.0,0.1481691151857376,0.5812103748321533,1.0,0.95,0.007981877774000168
