variant,batch,context_len,repeat,decode_ms_per_token,decode_tokens_per_sec
fp16_manual,1,10,0,37.793087768554685,26.459864992350237
fp16_manual,1,10,1,37.81956481933594,26.44134073929724
fp16_manual,1,10,2,37.85624694824219,26.415719481310965
quarot_unfused,1,10,0,108.96312255859375,9.17741687755195
quarot_unfused,1,10,1,109.89959716796875,9.099214426342403
quarot_unfused,1,10,2,118.57801513671875,8.43326647732309
fused_quarot,1,10,0,40.69803466796875,24.57121107096227
fused_quarot,1,10,1,40.584713745117185,24.639818979142404
fused_quarot,1,10,2,40.731964111328125,24.550743422703892
fp16_manual,1,128,0,38.11839904785156,26.23405035307647
fp16_manual,1,128,1,39.58860778808594,25.25979204302675
fp16_manual,1,128,2,38.236935424804685,26.152723509094034
quarot_unfused,1,128,0,121.1222900390625,8.256118668805678
quarot_unfused,1,128,1,119.28114013671875,8.383555010069578
quarot_unfused,1,128,2,119.27039794921875,8.384310081917944
fused_quarot,1,128,0,40.928399658203126,24.432912313970082
fused_quarot,1,128,1,40.858175659179686,24.47490578976274
fused_quarot,1,128,2,40.89094848632813,24.455289911760048
fp16_manual,1,1024,0,41.226376342773435,24.256315706371556
fp16_manual,1,1024,1,41.17650451660156,24.285694274918832
fp16_manual,1,1024,2,41.11867065429688,24.319852370896154
quarot_unfused,1,1024,0,113.9938720703125,8.772401374200102
quarot_unfused,1,1024,1,126.02637939453125,7.934846694829303
quarot_unfused,1,1024,2,117.5772216796875,8.50504873064847
fused_quarot,1,1024,0,44.5071533203125,22.468298361010042
fused_quarot,1,1024,1,42.812982177734376,23.357401169780392
fused_quarot,1,1024,2,44.18901672363281,22.63005774159234
fp16_manual,2,10,0,38.00251770019531,52.628092059009056
fp16_manual,2,10,1,38.04636840820312,52.567435045095735
fp16_manual,2,10,2,38.06871643066406,52.53657563271598
quarot_unfused,2,10,0,119.67432861328125,16.71202189454392
quarot_unfused,2,10,1,111.21458740234375,17.98325243760111
quarot_unfused,2,10,2,110.43211669921875,18.11067341439584
fused_quarot,2,10,0,41.15005798339844,48.602604662352576
fused_quarot,2,10,1,40.96778259277344,48.81884918889392
fused_quarot,2,10,2,40.964697265625,48.82252606510227
fp16_manual,2,128,0,38.621942138671876,51.78403490997451
fp16_manual,2,128,1,38.311807250976564,52.20322776469962
fp16_manual,2,128,2,38.47705078125,51.97903579903808
quarot_unfused,2,128,0,127.07744140625,15.73843459443176
quarot_unfused,2,128,1,121.80443115234375,16.41976388772385
quarot_unfused,2,128,2,119.21661376953125,16.77618527117694
fused_quarot,2,128,0,41.1572998046875,48.59405280450919
fused_quarot,2,128,1,41.614926147460935,48.05967918609479
fused_quarot,2,128,2,41.147344970703124,48.605809230802095
fp16_manual,2,1024,0,41.295266723632814,48.43170074151435
fp16_manual,2,1024,1,41.35408325195313,48.3628179547552
fp16_manual,2,1024,2,41.25965881347656,48.47349826719226
quarot_unfused,2,1024,0,118.82940673828125,16.830850669859434
quarot_unfused,2,1024,1,115.90347900390626,17.255737422106154
quarot_unfused,2,1024,2,115.835205078125,17.26590805145207
fused_quarot,2,1024,0,42.84197998046875,46.68318319815706
fused_quarot,2,1024,1,42.835992431640626,46.68970850136551
fused_quarot,2,1024,2,42.75208435058594,46.78134482518135
fp16_manual,4,10,0,38.69645690917969,103.36863680796337
fp16_manual,4,10,1,38.710150146484374,103.33207142993417
fp16_manual,4,10,2,38.76956787109375,103.17370607017689
quarot_unfused,4,10,0,118.7238037109375,33.691642913825355
quarot_unfused,4,10,1,129.17310791015626,30.966197722687905
quarot_unfused,4,10,2,122.59620361328125,32.62743773549173
fused_quarot,4,10,0,41.458074951171874,96.48301337462206
fused_quarot,4,10,1,41.442709350585936,96.51878611897381
fused_quarot,4,10,2,41.501165771484374,96.3828346901141
fp16_manual,4,128,0,38.879031372070315,102.88322159367108
fp16_manual,4,128,1,39.031900024414064,102.48027888721892
fp16_manual,4,128,2,38.90440063476562,102.816132230181
quarot_unfused,4,128,0,114.893994140625,34.814700541302294
quarot_unfused,4,128,1,111.72808837890625,35.80120324295445
quarot_unfused,4,128,2,122.86357421875,32.556435261099274
fused_quarot,4,128,0,41.59848327636719,96.15735202231444
fused_quarot,4,128,1,41.596368408203126,96.16224091358824
fused_quarot,4,128,2,41.578399658203125,96.20379891679713
fp16_manual,4,1024,0,41.96078186035156,95.32710837734821
fp16_manual,4,1024,1,41.799285888671875,95.6954147650654
fp16_manual,4,1024,2,41.80232238769531,95.68846349975561
quarot_unfused,4,1024,0,122.97962646484375,32.525712713426415
quarot_unfused,4,1024,1,114.59351806640625,34.90598829230484
quarot_unfused,4,1024,2,112.9737548828125,35.40645350904016
fused_quarot,4,1024,0,43.49154968261719,91.97188946336234
fused_quarot,4,1024,1,43.458489990234376,92.04185421303976
fused_quarot,4,1024,2,43.90529174804688,91.1051912137206
