mode,batch,context_len,repeat,prefill_ms,decode_ms_per_token,decode_tokens_per_sec
fp16_hf,1,10,0,40.999481201171875,40.53897399902344,24.667619856982306
fp16_hf,1,10,1,41.043450927734376,40.605429077148436,24.62724868884026
fp16_hf,1,10,2,41.7585693359375,40.794622802734374,24.513034593690918
fp16_hf,1,10,3,42.931591796875,47.35483093261719,21.11716968059572
fp16_hf,1,10,4,41.1296630859375,40.341915893554685,24.788113748454055
fp16_hf,1,128,0,65.45286865234375,41.63816528320312,24.016428034195854
fp16_hf,1,128,1,65.7703369140625,40.595376586914064,24.633347047760864
fp16_hf,1,128,2,65.46276245117187,41.434060668945314,24.13473320874622
fp16_hf,1,128,3,65.63244018554687,40.76378479003906,24.531578830343484
fp16_hf,1,128,4,65.5444091796875,40.54276123046875,24.66531557422583
fp16_hf,1,1024,0,204.533544921875,44.26365356445312,22.59189921012466
fp16_hf,1,1024,1,204.8886474609375,42.837249755859375,23.344169051450784
fp16_hf,1,1024,2,205.2089111328125,42.67933654785156,23.43054229249351
fp16_hf,1,1024,3,205.482373046875,42.543704223632815,23.50524051087458
fp16_hf,1,1024,4,205.6278564453125,44.47086181640625,22.486634149983544
