"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
7,7,"Agent 1",1,9,9,12288,127,"void (anonymous namespace)::bpre_kernel<1u, 4u, 1u, 2u>(unsigned char const*, unsigned char const*, int*, unsigned int, unsigned int, unsigned int)",128,0,0,32,0,128,"FETCH_SIZE",0.00000000e+00,2015104793579649,2015104794049963
10,10,"Agent 1",1,9,9,12288,127,"void (anonymous namespace)::bpre_kernel<1u, 4u, 1u, 2u>(unsigned char const*, unsigned char const*, int*, unsigned int, unsigned int, unsigned int)",128,0,0,32,0,128,"FETCH_SIZE",0.00000000e+00,2015104794188801,2015104794225361
13,13,"Agent 1",1,9,9,12288,127,"void (anonymous namespace)::bpre_kernel<1u, 4u, 1u, 2u>(unsigned char const*, unsigned char const*, int*, unsigned int, unsigned int, unsigned int)",128,0,0,32,0,128,"FETCH_SIZE",0.00000000e+00,2015104794440418,2015104794765893
16,16,"Agent 1",1,9,9,12288,127,"void (anonymous namespace)::bpre_kernel<1u, 4u, 1u, 2u>(unsigned char const*, unsigned char const*, int*, unsigned int, unsigned int, unsigned int)",128,0,0,32,0,128,"FETCH_SIZE",0.00000000e+00,2015104795167508,2015104795199748
19,19,"Agent 1",1,9,9,12288,127,"void (anonymous namespace)::bpre_kernel<1u, 4u, 1u, 2u>(unsigned char const*, unsigned char const*, int*, unsigned int, unsigned int, unsigned int)",128,0,0,32,0,128,"FETCH_SIZE",0.00000000e+00,2015104795310266,2015104795342426
22,22,"Agent 1",1,9,9,12288,127,"void (anonymous namespace)::bpre_kernel<1u, 4u, 1u, 2u>(unsigned char const*, unsigned char const*, int*, unsigned int, unsigned int, unsigned int)",128,0,0,32,0,128,"FETCH_SIZE",0.00000000e+00,2015104795691621,2015104795730540
25,25,"Agent 1",1,9,9,12288,127,"void (anonymous namespace)::bpre_kernel<1u, 4u, 1u, 2u>(unsigned char const*, unsigned char const*, int*, unsigned int, unsigned int, unsigned int)",128,0,0,32,0,128,"FETCH_SIZE",0.00000000e+00,2015104795834819,2015104795871058
28,28,"Agent 1",1,9,9,12288,127,"void (anonymous namespace)::bpre_kernel<1u, 4u, 1u, 2u>(unsigned char const*, unsigned char const*, int*, unsigned int, unsigned int, unsigned int)",128,0,0,32,0,128,"FETCH_SIZE",0.00000000e+00,2015104795969937,2015104796001817
31,31,"Agent 1",1,9,9,12288,127,"void (anonymous namespace)::bpre_kernel<1u, 4u, 1u, 2u>(unsigned char const*, unsigned char const*, int*, unsigned int, unsigned int, unsigned int)",128,0,0,32,0,128,"FETCH_SIZE",0.00000000e+00,2015104796115095,2015104796147175
34,34,"Agent 1",1,9,9,12288,127,"void (anonymous namespace)::bpre_kernel<1u, 4u, 1u, 2u>(unsigned char const*, unsigned char const*, int*, unsigned int, unsigned int, unsigned int)",128,0,0,32,0,128,"FETCH_SIZE",0.00000000e+00,2015104796253133,2015104796284773
