"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
6,6,"Agent 1",1,115,115,1024,95,"(anonymous namespace)::append_kv_had_quant_kernel(__half const*, __half const*, unsigned char*, __half2*, int const*, int const*, int const*, int, int, int, int, int, bool, float)",128,1536,0,24,0,128,"FetchSize",0.00000000e+00,12547178842198119,12547178842205889
6,6,"Agent 1",1,115,115,1024,95,"(anonymous namespace)::append_kv_had_quant_kernel(__half const*, __half const*, unsigned char*, __half2*, int const*, int const*, int const*, int, int, int, int, int, bool, float)",128,1536,0,24,0,128,"GL2C_EA_WRREQ_64B_sum",0.00000000e+00,12547178842198119,12547178842205889
6,6,"Agent 1",1,115,115,1024,95,"(anonymous namespace)::append_kv_had_quant_kernel(__half const*, __half const*, unsigned char*, __half2*, int const*, int const*, int const*, int, int, int, int, int, bool, float)",128,1536,0,24,0,128,"LdsUtil",0.00000000e+00,12547178842198119,12547178842205889
6,6,"Agent 1",1,115,115,1024,95,"(anonymous namespace)::append_kv_had_quant_kernel(__half const*, __half const*, unsigned char*, __half2*, int const*, int const*, int const*, int, int, int, int, int, bool, float)",128,1536,0,24,0,128,"MeanOccupancyPerCU",0.00000000e+00,12547178842198119,12547178842205889
6,6,"Agent 1",1,115,115,1024,95,"(anonymous namespace)::append_kv_had_quant_kernel(__half const*, __half const*, unsigned char*, __half2*, int const*, int const*, int const*, int, int, int, int, int, bool, float)",128,1536,0,24,0,128,"OccupancyPercent",0.00000000e+00,12547178842198119,12547178842205889
7,7,"Agent 1",1,115,115,1024,95,"(anonymous namespace)::append_kv_had_quant_kernel(__half const*, __half const*, unsigned char*, __half2*, int const*, int const*, int const*, int, int, int, int, int, bool, float)",128,1536,0,24,0,128,"FetchSize",0.00000000e+00,12547178842449943,12547178842456548
7,7,"Agent 1",1,115,115,1024,95,"(anonymous namespace)::append_kv_had_quant_kernel(__half const*, __half const*, unsigned char*, __half2*, int const*, int const*, int const*, int, int, int, int, int, bool, float)",128,1536,0,24,0,128,"GL2C_EA_WRREQ_64B_sum",0.00000000e+00,12547178842449943,12547178842456548
7,7,"Agent 1",1,115,115,1024,95,"(anonymous namespace)::append_kv_had_quant_kernel(__half const*, __half const*, unsigned char*, __half2*, int const*, int const*, int const*, int, int, int, int, int, bool, float)",128,1536,0,24,0,128,"LdsUtil",0.00000000e+00,12547178842449943,12547178842456548
7,7,"Agent 1",1,115,115,1024,95,"(anonymous namespace)::append_kv_had_quant_kernel(__half const*, __half const*, unsigned char*, __half2*, int const*, int const*, int const*, int, int, int, int, int, bool, float)",128,1536,0,24,0,128,"MeanOccupancyPerCU",0.00000000e+00,12547178842449943,12547178842456548
7,7,"Agent 1",1,115,115,1024,95,"(anonymous namespace)::append_kv_had_quant_kernel(__half const*, __half const*, unsigned char*, __half2*, int const*, int const*, int const*, int, int, int, int, int, bool, float)",128,1536,0,24,0,128,"OccupancyPercent",0.00000000e+00,12547178842449943,12547178842456548
8,8,"Agent 1",1,115,115,1024,95,"(anonymous namespace)::append_kv_had_quant_kernel(__half const*, __half const*, unsigned char*, __half2*, int const*, int const*, int const*, int, int, int, int, int, bool, float)",128,1536,0,24,0,128,"FetchSize",0.00000000e+00,12547178842696019,12547178842702581
8,8,"Agent 1",1,115,115,1024,95,"(anonymous namespace)::append_kv_had_quant_kernel(__half const*, __half const*, unsigned char*, __half2*, int const*, int const*, int const*, int, int, int, int, int, bool, float)",128,1536,0,24,0,128,"GL2C_EA_WRREQ_64B_sum",0.00000000e+00,12547178842696019,12547178842702581
8,8,"Agent 1",1,115,115,1024,95,"(anonymous namespace)::append_kv_had_quant_kernel(__half const*, __half const*, unsigned char*, __half2*, int const*, int const*, int const*, int, int, int, int, int, bool, float)",128,1536,0,24,0,128,"LdsUtil",0.00000000e+00,12547178842696019,12547178842702581
8,8,"Agent 1",1,115,115,1024,95,"(anonymous namespace)::append_kv_had_quant_kernel(__half const*, __half const*, unsigned char*, __half2*, int const*, int const*, int const*, int, int, int, int, int, bool, float)",128,1536,0,24,0,128,"MeanOccupancyPerCU",0.00000000e+00,12547178842696019,12547178842702581
8,8,"Agent 1",1,115,115,1024,95,"(anonymous namespace)::append_kv_had_quant_kernel(__half const*, __half const*, unsigned char*, __half2*, int const*, int const*, int const*, int, int, int, int, int, bool, float)",128,1536,0,24,0,128,"OccupancyPercent",0.00000000e+00,12547178842696019,12547178842702581
9,9,"Agent 1",1,115,115,1024,95,"(anonymous namespace)::append_kv_had_quant_kernel(__half const*, __half const*, unsigned char*, __half2*, int const*, int const*, int const*, int, int, int, int, int, bool, float)",128,1536,0,24,0,128,"FetchSize",0.00000000e+00,12547178842827348,12547178842833951
9,9,"Agent 1",1,115,115,1024,95,"(anonymous namespace)::append_kv_had_quant_kernel(__half const*, __half const*, unsigned char*, __half2*, int const*, int const*, int const*, int, int, int, int, int, bool, float)",128,1536,0,24,0,128,"GL2C_EA_WRREQ_64B_sum",0.00000000e+00,12547178842827348,12547178842833951
9,9,"Agent 1",1,115,115,1024,95,"(anonymous namespace)::append_kv_had_quant_kernel(__half const*, __half const*, unsigned char*, __half2*, int const*, int const*, int const*, int, int, int, int, int, bool, float)",128,1536,0,24,0,128,"LdsUtil",0.00000000e+00,12547178842827348,12547178842833951
9,9,"Agent 1",1,115,115,1024,95,"(anonymous namespace)::append_kv_had_quant_kernel(__half const*, __half const*, unsigned char*, __half2*, int const*, int const*, int const*, int, int, int, int, int, bool, float)",128,1536,0,24,0,128,"MeanOccupancyPerCU",0.00000000e+00,12547178842827348,12547178842833951
9,9,"Agent 1",1,115,115,1024,95,"(anonymous namespace)::append_kv_had_quant_kernel(__half const*, __half const*, unsigned char*, __half2*, int const*, int const*, int const*, int, int, int, int, int, bool, float)",128,1536,0,24,0,128,"OccupancyPercent",0.00000000e+00,12547178842827348,12547178842833951
10,10,"Agent 1",1,115,115,1024,95,"(anonymous namespace)::append_kv_had_quant_kernel(__half const*, __half const*, unsigned char*, __half2*, int const*, int const*, int const*, int, int, int, int, int, bool, float)",128,1536,0,24,0,128,"FetchSize",0.00000000e+00,12547178842941683,12547178842946598
10,10,"Agent 1",1,115,115,1024,95,"(anonymous namespace)::append_kv_had_quant_kernel(__half const*, __half const*, unsigned char*, __half2*, int const*, int const*, int const*, int, int, int, int, int, bool, float)",128,1536,0,24,0,128,"GL2C_EA_WRREQ_64B_sum",0.00000000e+00,12547178842941683,12547178842946598
10,10,"Agent 1",1,115,115,1024,95,"(anonymous namespace)::append_kv_had_quant_kernel(__half const*, __half const*, unsigned char*, __half2*, int const*, int const*, int const*, int, int, int, int, int, bool, float)",128,1536,0,24,0,128,"LdsUtil",0.00000000e+00,12547178842941683,12547178842946598
10,10,"Agent 1",1,115,115,1024,95,"(anonymous namespace)::append_kv_had_quant_kernel(__half const*, __half const*, unsigned char*, __half2*, int const*, int const*, int const*, int, int, int, int, int, bool, float)",128,1536,0,24,0,128,"MeanOccupancyPerCU",0.00000000e+00,12547178842941683,12547178842946598
10,10,"Agent 1",1,115,115,1024,95,"(anonymous namespace)::append_kv_had_quant_kernel(__half const*, __half const*, unsigned char*, __half2*, int const*, int const*, int const*, int, int, int, int, int, bool, float)",128,1536,0,24,0,128,"OccupancyPercent",0.00000000e+00,12547178842941683,12547178842946598
11,11,"Agent 1",1,115,115,1024,95,"(anonymous namespace)::append_kv_had_quant_kernel(__half const*, __half const*, unsigned char*, __half2*, int const*, int const*, int const*, int, int, int, int, int, bool, float)",128,1536,0,24,0,128,"FetchSize",0.00000000e+00,12547178843166283,12547178843171271
11,11,"Agent 1",1,115,115,1024,95,"(anonymous namespace)::append_kv_had_quant_kernel(__half const*, __half const*, unsigned char*, __half2*, int const*, int const*, int const*, int, int, int, int, int, bool, float)",128,1536,0,24,0,128,"GL2C_EA_WRREQ_64B_sum",0.00000000e+00,12547178843166283,12547178843171271
11,11,"Agent 1",1,115,115,1024,95,"(anonymous namespace)::append_kv_had_quant_kernel(__half const*, __half const*, unsigned char*, __half2*, int const*, int const*, int const*, int, int, int, int, int, bool, float)",128,1536,0,24,0,128,"LdsUtil",0.00000000e+00,12547178843166283,12547178843171271
11,11,"Agent 1",1,115,115,1024,95,"(anonymous namespace)::append_kv_had_quant_kernel(__half const*, __half const*, unsigned char*, __half2*, int const*, int const*, int const*, int, int, int, int, int, bool, float)",128,1536,0,24,0,128,"MeanOccupancyPerCU",0.00000000e+00,12547178843166283,12547178843171271
11,11,"Agent 1",1,115,115,1024,95,"(anonymous namespace)::append_kv_had_quant_kernel(__half const*, __half const*, unsigned char*, __half2*, int const*, int const*, int const*, int, int, int, int, int, bool, float)",128,1536,0,24,0,128,"OccupancyPercent",0.00000000e+00,12547178843166283,12547178843171271
12,12,"Agent 1",1,115,115,1024,95,"(anonymous namespace)::append_kv_had_quant_kernel(__half const*, __half const*, unsigned char*, __half2*, int const*, int const*, int const*, int, int, int, int, int, bool, float)",128,1536,0,24,0,128,"FetchSize",0.00000000e+00,12547178843386186,12547178843391375
12,12,"Agent 1",1,115,115,1024,95,"(anonymous namespace)::append_kv_had_quant_kernel(__half const*, __half const*, unsigned char*, __half2*, int const*, int const*, int const*, int, int, int, int, int, bool, float)",128,1536,0,24,0,128,"GL2C_EA_WRREQ_64B_sum",0.00000000e+00,12547178843386186,12547178843391375
12,12,"Agent 1",1,115,115,1024,95,"(anonymous namespace)::append_kv_had_quant_kernel(__half const*, __half const*, unsigned char*, __half2*, int const*, int const*, int const*, int, int, int, int, int, bool, float)",128,1536,0,24,0,128,"LdsUtil",0.00000000e+00,12547178843386186,12547178843391375
12,12,"Agent 1",1,115,115,1024,95,"(anonymous namespace)::append_kv_had_quant_kernel(__half const*, __half const*, unsigned char*, __half2*, int const*, int const*, int const*, int, int, int, int, int, bool, float)",128,1536,0,24,0,128,"MeanOccupancyPerCU",0.00000000e+00,12547178843386186,12547178843391375
12,12,"Agent 1",1,115,115,1024,95,"(anonymous namespace)::append_kv_had_quant_kernel(__half const*, __half const*, unsigned char*, __half2*, int const*, int const*, int const*, int, int, int, int, int, bool, float)",128,1536,0,24,0,128,"OccupancyPercent",0.00000000e+00,12547178843386186,12547178843391375
13,13,"Agent 1",1,115,115,1024,95,"(anonymous namespace)::append_kv_had_quant_kernel(__half const*, __half const*, unsigned char*, __half2*, int const*, int const*, int const*, int, int, int, int, int, bool, float)",128,1536,0,24,0,128,"FetchSize",0.00000000e+00,12547178843600787,12547178843606016
13,13,"Agent 1",1,115,115,1024,95,"(anonymous namespace)::append_kv_had_quant_kernel(__half const*, __half const*, unsigned char*, __half2*, int const*, int const*, int const*, int, int, int, int, int, bool, float)",128,1536,0,24,0,128,"GL2C_EA_WRREQ_64B_sum",0.00000000e+00,12547178843600787,12547178843606016
13,13,"Agent 1",1,115,115,1024,95,"(anonymous namespace)::append_kv_had_quant_kernel(__half const*, __half const*, unsigned char*, __half2*, int const*, int const*, int const*, int, int, int, int, int, bool, float)",128,1536,0,24,0,128,"LdsUtil",0.00000000e+00,12547178843600787,12547178843606016
13,13,"Agent 1",1,115,115,1024,95,"(anonymous namespace)::append_kv_had_quant_kernel(__half const*, __half const*, unsigned char*, __half2*, int const*, int const*, int const*, int, int, int, int, int, bool, float)",128,1536,0,24,0,128,"MeanOccupancyPerCU",0.00000000e+00,12547178843600787,12547178843606016
13,13,"Agent 1",1,115,115,1024,95,"(anonymous namespace)::append_kv_had_quant_kernel(__half const*, __half const*, unsigned char*, __half2*, int const*, int const*, int const*, int, int, int, int, int, bool, float)",128,1536,0,24,0,128,"OccupancyPercent",0.00000000e+00,12547178843600787,12547178843606016
14,14,"Agent 1",1,115,115,1024,95,"(anonymous namespace)::append_kv_had_quant_kernel(__half const*, __half const*, unsigned char*, __half2*, int const*, int const*, int const*, int, int, int, int, int, bool, float)",128,1536,0,24,0,128,"FetchSize",0.00000000e+00,12547178843883265,12547178843887835
14,14,"Agent 1",1,115,115,1024,95,"(anonymous namespace)::append_kv_had_quant_kernel(__half const*, __half const*, unsigned char*, __half2*, int const*, int const*, int const*, int, int, int, int, int, bool, float)",128,1536,0,24,0,128,"GL2C_EA_WRREQ_64B_sum",0.00000000e+00,12547178843883265,12547178843887835
14,14,"Agent 1",1,115,115,1024,95,"(anonymous namespace)::append_kv_had_quant_kernel(__half const*, __half const*, unsigned char*, __half2*, int const*, int const*, int const*, int, int, int, int, int, bool, float)",128,1536,0,24,0,128,"LdsUtil",0.00000000e+00,12547178843883265,12547178843887835
14,14,"Agent 1",1,115,115,1024,95,"(anonymous namespace)::append_kv_had_quant_kernel(__half const*, __half const*, unsigned char*, __half2*, int const*, int const*, int const*, int, int, int, int, int, bool, float)",128,1536,0,24,0,128,"MeanOccupancyPerCU",0.00000000e+00,12547178843883265,12547178843887835
14,14,"Agent 1",1,115,115,1024,95,"(anonymous namespace)::append_kv_had_quant_kernel(__half const*, __half const*, unsigned char*, __half2*, int const*, int const*, int const*, int, int, int, int, int, bool, float)",128,1536,0,24,0,128,"OccupancyPercent",0.00000000e+00,12547178843883265,12547178843887835
15,15,"Agent 1",1,115,115,1024,95,"(anonymous namespace)::append_kv_had_quant_kernel(__half const*, __half const*, unsigned char*, __half2*, int const*, int const*, int const*, int, int, int, int, int, bool, float)",128,1536,0,24,0,128,"FetchSize",0.00000000e+00,12547178844111602,12547178844116824
15,15,"Agent 1",1,115,115,1024,95,"(anonymous namespace)::append_kv_had_quant_kernel(__half const*, __half const*, unsigned char*, __half2*, int const*, int const*, int const*, int, int, int, int, int, bool, float)",128,1536,0,24,0,128,"GL2C_EA_WRREQ_64B_sum",0.00000000e+00,12547178844111602,12547178844116824
15,15,"Agent 1",1,115,115,1024,95,"(anonymous namespace)::append_kv_had_quant_kernel(__half const*, __half const*, unsigned char*, __half2*, int const*, int const*, int const*, int, int, int, int, int, bool, float)",128,1536,0,24,0,128,"LdsUtil",0.00000000e+00,12547178844111602,12547178844116824
15,15,"Agent 1",1,115,115,1024,95,"(anonymous namespace)::append_kv_had_quant_kernel(__half const*, __half const*, unsigned char*, __half2*, int const*, int const*, int const*, int, int, int, int, int, bool, float)",128,1536,0,24,0,128,"MeanOccupancyPerCU",0.00000000e+00,12547178844111602,12547178844116824
15,15,"Agent 1",1,115,115,1024,95,"(anonymous namespace)::append_kv_had_quant_kernel(__half const*, __half const*, unsigned char*, __half2*, int const*, int const*, int const*, int, int, int, int, int, bool, float)",128,1536,0,24,0,128,"OccupancyPercent",0.00000000e+00,12547178844111602,12547178844116824
16,16,"Agent 1",1,115,115,1024,95,"(anonymous namespace)::append_kv_had_quant_kernel(__half const*, __half const*, unsigned char*, __half2*, int const*, int const*, int const*, int, int, int, int, int, bool, float)",128,1536,0,24,0,128,"FetchSize",0.00000000e+00,12547178844374386,12547178844380906
16,16,"Agent 1",1,115,115,1024,95,"(anonymous namespace)::append_kv_had_quant_kernel(__half const*, __half const*, unsigned char*, __half2*, int const*, int const*, int const*, int, int, int, int, int, bool, float)",128,1536,0,24,0,128,"GL2C_EA_WRREQ_64B_sum",0.00000000e+00,12547178844374386,12547178844380906
16,16,"Agent 1",1,115,115,1024,95,"(anonymous namespace)::append_kv_had_quant_kernel(__half const*, __half const*, unsigned char*, __half2*, int const*, int const*, int const*, int, int, int, int, int, bool, float)",128,1536,0,24,0,128,"LdsUtil",0.00000000e+00,12547178844374386,12547178844380906
16,16,"Agent 1",1,115,115,1024,95,"(anonymous namespace)::append_kv_had_quant_kernel(__half const*, __half const*, unsigned char*, __half2*, int const*, int const*, int const*, int, int, int, int, int, bool, float)",128,1536,0,24,0,128,"MeanOccupancyPerCU",0.00000000e+00,12547178844374386,12547178844380906
16,16,"Agent 1",1,115,115,1024,95,"(anonymous namespace)::append_kv_had_quant_kernel(__half const*, __half const*, unsigned char*, __half2*, int const*, int const*, int const*, int, int, int, int, int, bool, float)",128,1536,0,24,0,128,"OccupancyPercent",0.00000000e+00,12547178844374386,12547178844380906
17,17,"Agent 1",1,115,115,1024,95,"(anonymous namespace)::append_kv_had_quant_kernel(__half const*, __half const*, unsigned char*, __half2*, int const*, int const*, int const*, int, int, int, int, int, bool, float)",128,1536,0,24,0,128,"FetchSize",0.00000000e+00,12547178844602050,12547178844608040
17,17,"Agent 1",1,115,115,1024,95,"(anonymous namespace)::append_kv_had_quant_kernel(__half const*, __half const*, unsigned char*, __half2*, int const*, int const*, int const*, int, int, int, int, int, bool, float)",128,1536,0,24,0,128,"GL2C_EA_WRREQ_64B_sum",0.00000000e+00,12547178844602050,12547178844608040
17,17,"Agent 1",1,115,115,1024,95,"(anonymous namespace)::append_kv_had_quant_kernel(__half const*, __half const*, unsigned char*, __half2*, int const*, int const*, int const*, int, int, int, int, int, bool, float)",128,1536,0,24,0,128,"LdsUtil",0.00000000e+00,12547178844602050,12547178844608040
17,17,"Agent 1",1,115,115,1024,95,"(anonymous namespace)::append_kv_had_quant_kernel(__half const*, __half const*, unsigned char*, __half2*, int const*, int const*, int const*, int, int, int, int, int, bool, float)",128,1536,0,24,0,128,"MeanOccupancyPerCU",0.00000000e+00,12547178844602050,12547178844608040
