"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
2,2,"Agent 1",1,237,237,4096,16,"(anonymous namespace)::output_had_quant_kernel(__half const*, unsigned char*, __half*, int)",256,0,0,16,0,128,"FetchSize",0.00000000e+00,12547189618717450,12547189618722136
2,2,"Agent 1",1,237,237,4096,16,"(anonymous namespace)::output_had_quant_kernel(__half const*, unsigned char*, __half*, int)",256,0,0,16,0,128,"GL2C_EA_WRREQ_64B_sum",0.00000000e+00,12547189618717450,12547189618722136
2,2,"Agent 1",1,237,237,4096,16,"(anonymous namespace)::output_had_quant_kernel(__half const*, unsigned char*, __half*, int)",256,0,0,16,0,128,"LdsUtil",0.00000000e+00,12547189618717450,12547189618722136
2,2,"Agent 1",1,237,237,4096,16,"(anonymous namespace)::output_had_quant_kernel(__half const*, unsigned char*, __half*, int)",256,0,0,16,0,128,"MeanOccupancyPerCU",0.00000000e+00,12547189618717450,12547189618722136
2,2,"Agent 1",1,237,237,4096,16,"(anonymous namespace)::output_had_quant_kernel(__half const*, unsigned char*, __half*, int)",256,0,0,16,0,128,"OccupancyPercent",0.00000000e+00,12547189618717450,12547189618722136
3,3,"Agent 1",1,237,237,4096,16,"(anonymous namespace)::output_had_quant_kernel(__half const*, unsigned char*, __half*, int)",256,0,0,16,0,128,"FetchSize",0.00000000e+00,12547189618982612,12547189618987633
3,3,"Agent 1",1,237,237,4096,16,"(anonymous namespace)::output_had_quant_kernel(__half const*, unsigned char*, __half*, int)",256,0,0,16,0,128,"GL2C_EA_WRREQ_64B_sum",0.00000000e+00,12547189618982612,12547189618987633
3,3,"Agent 1",1,237,237,4096,16,"(anonymous namespace)::output_had_quant_kernel(__half const*, unsigned char*, __half*, int)",256,0,0,16,0,128,"LdsUtil",0.00000000e+00,12547189618982612,12547189618987633
3,3,"Agent 1",1,237,237,4096,16,"(anonymous namespace)::output_had_quant_kernel(__half const*, unsigned char*, __half*, int)",256,0,0,16,0,128,"MeanOccupancyPerCU",0.00000000e+00,12547189618982612,12547189618987633
3,3,"Agent 1",1,237,237,4096,16,"(anonymous namespace)::output_had_quant_kernel(__half const*, unsigned char*, __half*, int)",256,0,0,16,0,128,"OccupancyPercent",0.00000000e+00,12547189618982612,12547189618987633
4,4,"Agent 1",1,237,237,4096,16,"(anonymous namespace)::output_had_quant_kernel(__half const*, unsigned char*, __half*, int)",256,0,0,16,0,128,"FetchSize",0.00000000e+00,12547189619229096,12547189619232686
4,4,"Agent 1",1,237,237,4096,16,"(anonymous namespace)::output_had_quant_kernel(__half const*, unsigned char*, __half*, int)",256,0,0,16,0,128,"GL2C_EA_WRREQ_64B_sum",0.00000000e+00,12547189619229096,12547189619232686
4,4,"Agent 1",1,237,237,4096,16,"(anonymous namespace)::output_had_quant_kernel(__half const*, unsigned char*, __half*, int)",256,0,0,16,0,128,"LdsUtil",0.00000000e+00,12547189619229096,12547189619232686
4,4,"Agent 1",1,237,237,4096,16,"(anonymous namespace)::output_had_quant_kernel(__half const*, unsigned char*, __half*, int)",256,0,0,16,0,128,"MeanOccupancyPerCU",0.00000000e+00,12547189619229096,12547189619232686
4,4,"Agent 1",1,237,237,4096,16,"(anonymous namespace)::output_had_quant_kernel(__half const*, unsigned char*, __half*, int)",256,0,0,16,0,128,"OccupancyPercent",0.00000000e+00,12547189619229096,12547189619232686
5,5,"Agent 1",1,237,237,4096,16,"(anonymous namespace)::output_had_quant_kernel(__half const*, unsigned char*, __half*, int)",256,0,0,16,0,128,"FetchSize",0.00000000e+00,12547189619362661,12547189619366413
5,5,"Agent 1",1,237,237,4096,16,"(anonymous namespace)::output_had_quant_kernel(__half const*, unsigned char*, __half*, int)",256,0,0,16,0,128,"GL2C_EA_WRREQ_64B_sum",0.00000000e+00,12547189619362661,12547189619366413
5,5,"Agent 1",1,237,237,4096,16,"(anonymous namespace)::output_had_quant_kernel(__half const*, unsigned char*, __half*, int)",256,0,0,16,0,128,"LdsUtil",0.00000000e+00,12547189619362661,12547189619366413
5,5,"Agent 1",1,237,237,4096,16,"(anonymous namespace)::output_had_quant_kernel(__half const*, unsigned char*, __half*, int)",256,0,0,16,0,128,"MeanOccupancyPerCU",0.00000000e+00,12547189619362661,12547189619366413
5,5,"Agent 1",1,237,237,4096,16,"(anonymous namespace)::output_had_quant_kernel(__half const*, unsigned char*, __half*, int)",256,0,0,16,0,128,"OccupancyPercent",0.00000000e+00,12547189619362661,12547189619366413
6,6,"Agent 1",1,237,237,4096,16,"(anonymous namespace)::output_had_quant_kernel(__half const*, unsigned char*, __half*, int)",256,0,0,16,0,128,"FetchSize",0.00000000e+00,12547189619481916,12547189619485421
6,6,"Agent 1",1,237,237,4096,16,"(anonymous namespace)::output_had_quant_kernel(__half const*, unsigned char*, __half*, int)",256,0,0,16,0,128,"GL2C_EA_WRREQ_64B_sum",0.00000000e+00,12547189619481916,12547189619485421
6,6,"Agent 1",1,237,237,4096,16,"(anonymous namespace)::output_had_quant_kernel(__half const*, unsigned char*, __half*, int)",256,0,0,16,0,128,"LdsUtil",0.00000000e+00,12547189619481916,12547189619485421
6,6,"Agent 1",1,237,237,4096,16,"(anonymous namespace)::output_had_quant_kernel(__half const*, unsigned char*, __half*, int)",256,0,0,16,0,128,"MeanOccupancyPerCU",0.00000000e+00,12547189619481916,12547189619485421
6,6,"Agent 1",1,237,237,4096,16,"(anonymous namespace)::output_had_quant_kernel(__half const*, unsigned char*, __half*, int)",256,0,0,16,0,128,"OccupancyPercent",0.00000000e+00,12547189619481916,12547189619485421
7,7,"Agent 1",1,237,237,4096,16,"(anonymous namespace)::output_had_quant_kernel(__half const*, unsigned char*, __half*, int)",256,0,0,16,0,128,"FetchSize",0.00000000e+00,12547189619710361,12547189619713803
7,7,"Agent 1",1,237,237,4096,16,"(anonymous namespace)::output_had_quant_kernel(__half const*, unsigned char*, __half*, int)",256,0,0,16,0,128,"GL2C_EA_WRREQ_64B_sum",0.00000000e+00,12547189619710361,12547189619713803
7,7,"Agent 1",1,237,237,4096,16,"(anonymous namespace)::output_had_quant_kernel(__half const*, unsigned char*, __half*, int)",256,0,0,16,0,128,"LdsUtil",0.00000000e+00,12547189619710361,12547189619713803
7,7,"Agent 1",1,237,237,4096,16,"(anonymous namespace)::output_had_quant_kernel(__half const*, unsigned char*, __half*, int)",256,0,0,16,0,128,"MeanOccupancyPerCU",0.00000000e+00,12547189619710361,12547189619713803
7,7,"Agent 1",1,237,237,4096,16,"(anonymous namespace)::output_had_quant_kernel(__half const*, unsigned char*, __half*, int)",256,0,0,16,0,128,"OccupancyPercent",0.00000000e+00,12547189619710361,12547189619713803
8,8,"Agent 1",1,237,237,4096,16,"(anonymous namespace)::output_had_quant_kernel(__half const*, unsigned char*, __half*, int)",256,0,0,16,0,128,"FetchSize",0.00000000e+00,12547189619942967,12547189619946407
8,8,"Agent 1",1,237,237,4096,16,"(anonymous namespace)::output_had_quant_kernel(__half const*, unsigned char*, __half*, int)",256,0,0,16,0,128,"GL2C_EA_WRREQ_64B_sum",0.00000000e+00,12547189619942967,12547189619946407
8,8,"Agent 1",1,237,237,4096,16,"(anonymous namespace)::output_had_quant_kernel(__half const*, unsigned char*, __half*, int)",256,0,0,16,0,128,"LdsUtil",0.00000000e+00,12547189619942967,12547189619946407
8,8,"Agent 1",1,237,237,4096,16,"(anonymous namespace)::output_had_quant_kernel(__half const*, unsigned char*, __half*, int)",256,0,0,16,0,128,"MeanOccupancyPerCU",0.00000000e+00,12547189619942967,12547189619946407
8,8,"Agent 1",1,237,237,4096,16,"(anonymous namespace)::output_had_quant_kernel(__half const*, unsigned char*, __half*, int)",256,0,0,16,0,128,"OccupancyPercent",0.00000000e+00,12547189619942967,12547189619946407
9,9,"Agent 1",1,237,237,4096,16,"(anonymous namespace)::output_had_quant_kernel(__half const*, unsigned char*, __half*, int)",256,0,0,16,0,128,"FetchSize",0.00000000e+00,12547189620207825,12547189620211354
9,9,"Agent 1",1,237,237,4096,16,"(anonymous namespace)::output_had_quant_kernel(__half const*, unsigned char*, __half*, int)",256,0,0,16,0,128,"GL2C_EA_WRREQ_64B_sum",0.00000000e+00,12547189620207825,12547189620211354
9,9,"Agent 1",1,237,237,4096,16,"(anonymous namespace)::output_had_quant_kernel(__half const*, unsigned char*, __half*, int)",256,0,0,16,0,128,"LdsUtil",0.00000000e+00,12547189620207825,12547189620211354
9,9,"Agent 1",1,237,237,4096,16,"(anonymous namespace)::output_had_quant_kernel(__half const*, unsigned char*, __half*, int)",256,0,0,16,0,128,"MeanOccupancyPerCU",0.00000000e+00,12547189620207825,12547189620211354
9,9,"Agent 1",1,237,237,4096,16,"(anonymous namespace)::output_had_quant_kernel(__half const*, unsigned char*, __half*, int)",256,0,0,16,0,128,"OccupancyPercent",0.00000000e+00,12547189620207825,12547189620211354
10,10,"Agent 1",1,237,237,4096,16,"(anonymous namespace)::output_had_quant_kernel(__half const*, unsigned char*, __half*, int)",256,0,0,16,0,128,"FetchSize",0.00000000e+00,12547189620453722,12547189620457388
10,10,"Agent 1",1,237,237,4096,16,"(anonymous namespace)::output_had_quant_kernel(__half const*, unsigned char*, __half*, int)",256,0,0,16,0,128,"GL2C_EA_WRREQ_64B_sum",0.00000000e+00,12547189620453722,12547189620457388
10,10,"Agent 1",1,237,237,4096,16,"(anonymous namespace)::output_had_quant_kernel(__half const*, unsigned char*, __half*, int)",256,0,0,16,0,128,"LdsUtil",0.00000000e+00,12547189620453722,12547189620457388
10,10,"Agent 1",1,237,237,4096,16,"(anonymous namespace)::output_had_quant_kernel(__half const*, unsigned char*, __half*, int)",256,0,0,16,0,128,"MeanOccupancyPerCU",0.00000000e+00,12547189620453722,12547189620457388
10,10,"Agent 1",1,237,237,4096,16,"(anonymous namespace)::output_had_quant_kernel(__half const*, unsigned char*, __half*, int)",256,0,0,16,0,128,"OccupancyPercent",0.00000000e+00,12547189620453722,12547189620457388
11,11,"Agent 1",1,237,237,4096,16,"(anonymous namespace)::output_had_quant_kernel(__half const*, unsigned char*, __half*, int)",256,0,0,16,0,128,"FetchSize",0.00000000e+00,12547189620757175,12547189620760703
11,11,"Agent 1",1,237,237,4096,16,"(anonymous namespace)::output_had_quant_kernel(__half const*, unsigned char*, __half*, int)",256,0,0,16,0,128,"GL2C_EA_WRREQ_64B_sum",0.00000000e+00,12547189620757175,12547189620760703
