batch,seq_len,ffn_hidden,variant,reference,max_error,mean_error,mean_relative_error,tolerance,result
1,10,11008,fp16_baseline,fp16_baseline,0.0,0.0,0.0,"max<=1.25,mean<=0.25",PASS
1,10,11008,quarot_unfused,fp16_baseline,11.9765625,2.4886276721954346,249.7688751220703,"max<=1.25,mean<=0.25",NA_quantization_drift
1,10,11008,quarot_unfused,quarot_unfused,0.0,0.0,0.0,"max<=1.25,mean<=0.25",PASS
1,10,11008,fused_quarot,fp16_baseline,11.640625,2.4886116981506348,399.4797058105469,"max<=1.25,mean<=0.25",NA_quantization_drift
1,10,11008,fused_quarot,quarot_unfused,0.9462890625,0.2102595865726471,95.87113189697266,"max<=1.25,mean<=0.25",PASS
1,10,14336,fp16_baseline,fp16_baseline,0.0,0.0,0.0,"max<=1.25,mean<=0.25",PASS
1,10,14336,quarot_unfused,fp16_baseline,12.625,2.7450296878814697,349.4773254394531,"max<=1.25,mean<=0.25",NA_quantization_drift
1,10,14336,quarot_unfused,quarot_unfused,0.0,0.0,0.0,"max<=1.25,mean<=0.25",PASS
1,10,14336,fused_quarot,fp16_baseline,12.515625,2.7469329833984375,390.32647705078125,"max<=1.25,mean<=0.25",NA_quantization_drift
1,10,14336,fused_quarot,quarot_unfused,1.16796875,0.23226070404052734,0.6772624254226685,"max<=1.25,mean<=0.25",PASS
1,128,11008,fp16_baseline,fp16_baseline,0.0,0.0,0.0,"max<=1.25,mean<=0.25",PASS
1,128,11008,quarot_unfused,fp16_baseline,10.890625,2.3970651626586914,1088.9844970703125,"max<=1.25,mean<=0.25",NA_quantization_drift
1,128,11008,quarot_unfused,quarot_unfused,0.0,0.0,0.0,"max<=1.25,mean<=0.25",PASS
1,128,11008,fused_quarot,fp16_baseline,10.63671875,2.3971729278564453,1044.1109619140625,"max<=1.25,mean<=0.25",NA_quantization_drift
1,128,11008,fused_quarot,quarot_unfused,0.4296875,0.1048717051744461,0.40764033794403076,"max<=1.25,mean<=0.25",PASS
1,128,14336,fp16_baseline,fp16_baseline,0.0,0.0,0.0,"max<=1.25,mean<=0.25",PASS
1,128,14336,quarot_unfused,fp16_baseline,12.1875,2.6619601249694824,4.436904430389404,"max<=1.25,mean<=0.25",NA_quantization_drift
1,128,14336,quarot_unfused,quarot_unfused,0.0,0.0,0.0,"max<=1.25,mean<=0.25",PASS
1,128,14336,fused_quarot,fp16_baseline,12.22265625,2.661733627319336,4.534847259521484,"max<=1.25,mean<=0.25",NA_quantization_drift
1,128,14336,fused_quarot,quarot_unfused,0.615234375,0.1231405958533287,0.5175904631614685,"max<=1.25,mean<=0.25",PASS
1,1024,11008,fp16_baseline,fp16_baseline,0.0,0.0,0.0,"max<=1.25,mean<=0.25",PASS
1,1024,11008,quarot_unfused,fp16_baseline,10.71484375,2.3605828285217285,5.31636905670166,"max<=1.25,mean<=0.25",NA_quantization_drift
1,1024,11008,quarot_unfused,quarot_unfused,0.0,0.0,0.0,"max<=1.25,mean<=0.25",PASS
1,1024,11008,fused_quarot,fp16_baseline,10.7421875,2.3602263927459717,5.307497978210449,"max<=1.25,mean<=0.25",NA_quantization_drift
1,1024,11008,fused_quarot,quarot_unfused,0.1826171875,0.031152356415987015,0.08780453354120255,"max<=1.25,mean<=0.25",PASS
1,1024,14336,fp16_baseline,fp16_baseline,0.0,0.0,0.0,"max<=1.25,mean<=0.25",PASS
1,1024,14336,quarot_unfused,fp16_baseline,11.861328125,2.6061668395996094,14.93134593963623,"max<=1.25,mean<=0.25",NA_quantization_drift
1,1024,14336,quarot_unfused,quarot_unfused,0.0,0.0,0.0,"max<=1.25,mean<=0.25",PASS
1,1024,14336,fused_quarot,fp16_baseline,11.859375,2.606140613555908,15.044927597045898,"max<=1.25,mean<=0.25",NA_quantization_drift
1,1024,14336,fused_quarot,quarot_unfused,0.1796875,0.03811825439333916,11.896666526794434,"max<=1.25,mean<=0.25",PASS
1,4096,11008,fp16_baseline,fp16_baseline,0.0,0.0,0.0,"max<=1.25,mean<=0.25",PASS
1,4096,11008,quarot_unfused,fp16_baseline,10.8203125,2.3662309646606445,5.140381813049316,"max<=1.25,mean<=0.25",NA_quantization_drift
1,4096,11008,quarot_unfused,quarot_unfused,0.0,0.0,0.0,"max<=1.25,mean<=0.25",PASS
1,4096,11008,fused_quarot,fp16_baseline,10.828125,2.365921974182129,5.138410568237305,"max<=1.25,mean<=0.25",NA_quantization_drift
1,4096,11008,fused_quarot,quarot_unfused,0.07275390625,0.016034364700317383,9.112475395202637,"max<=1.25,mean<=0.25",PASS
1,4096,14336,fp16_baseline,fp16_baseline,0.0,0.0,0.0,"max<=1.25,mean<=0.25",PASS
1,4096,14336,quarot_unfused,fp16_baseline,11.72265625,2.601461410522461,4.613744735717773,"max<=1.25,mean<=0.25",NA_quantization_drift
1,4096,14336,quarot_unfused,quarot_unfused,0.0,0.0,0.0,"max<=1.25,mean<=0.25",PASS
1,4096,14336,fused_quarot,fp16_baseline,11.7109375,2.601314067840576,4.607184410095215,"max<=1.25,mean<=0.25",NA_quantization_drift
1,4096,14336,fused_quarot,quarot_unfused,0.119140625,0.02595607377588749,13.296749114990234,"max<=1.25,mean<=0.25",PASS
2,10,11008,fp16_baseline,fp16_baseline,0.0,0.0,0.0,"max<=1.25,mean<=0.25",PASS
2,10,11008,quarot_unfused,fp16_baseline,11.9765625,2.3506059646606445,127.45556640625,"max<=1.25,mean<=0.25",NA_quantization_drift
2,10,11008,quarot_unfused,quarot_unfused,0.0,0.0,0.0,"max<=1.25,mean<=0.25",PASS
2,10,11008,fused_quarot,fp16_baseline,11.9140625,2.3526201248168945,202.3061981201172,"max<=1.25,mean<=0.25",NA_quantization_drift
2,10,11008,fused_quarot,quarot_unfused,0.9462890625,0.20346175134181976,48.20213317871094,"max<=1.25,mean<=0.25",PASS
2,10,14336,fp16_baseline,fp16_baseline,0.0,0.0,0.0,"max<=1.25,mean<=0.25",PASS
2,10,14336,quarot_unfused,fp16_baseline,12.625,2.6334433555603027,178.1049041748047,"max<=1.25,mean<=0.25",NA_quantization_drift
2,10,14336,quarot_unfused,quarot_unfused,0.0,0.0,0.0,"max<=1.25,mean<=0.25",PASS
2,10,14336,fused_quarot,fp16_baseline,12.515625,2.638413667678833,198.5215301513672,"max<=1.25,mean<=0.25",NA_quantization_drift
2,10,14336,fused_quarot,quarot_unfused,1.16796875,0.226248636841774,0.5979005694389343,"max<=1.25,mean<=0.25",PASS
2,128,11008,fp16_baseline,fp16_baseline,0.0,0.0,0.0,"max<=1.25,mean<=0.25",PASS
2,128,11008,quarot_unfused,fp16_baseline,12.1171875,2.2832446098327637,547.95947265625,"max<=1.25,mean<=0.25",NA_quantization_drift
2,128,11008,quarot_unfused,quarot_unfused,0.0,0.0,0.0,"max<=1.25,mean<=0.25",PASS
2,128,11008,fused_quarot,fp16_baseline,12.1796875,2.2841477394104004,525.6146850585938,"max<=1.25,mean<=0.25",NA_quantization_drift
2,128,11008,fused_quarot,quarot_unfused,0.5546875,0.10059057176113129,0.32563453912734985,"max<=1.25,mean<=0.25",PASS
2,128,14336,fp16_baseline,fp16_baseline,0.0,0.0,0.0,"max<=1.25,mean<=0.25",PASS
2,128,14336,quarot_unfused,fp16_baseline,12.62109375,2.560326099395752,5.002604007720947,"max<=1.25,mean<=0.25",NA_quantization_drift
2,128,14336,quarot_unfused,quarot_unfused,0.0,0.0,0.0,"max<=1.25,mean<=0.25",PASS
2,128,14336,fused_quarot,fp16_baseline,12.64453125,2.560192823410034,5.057711601257324,"max<=1.25,mean<=0.25",NA_quantization_drift
2,128,14336,fused_quarot,quarot_unfused,0.615234375,0.11806105822324753,0.5754890441894531,"max<=1.25,mean<=0.25",PASS
2,1024,11008,fp16_baseline,fp16_baseline,0.0,0.0,0.0,"max<=1.25,mean<=0.25",PASS
2,1024,11008,quarot_unfused,fp16_baseline,11.91015625,2.2675540447235107,4.958291053771973,"max<=1.25,mean<=0.25",NA_quantization_drift
2,1024,11008,quarot_unfused,quarot_unfused,0.0,0.0,0.0,"max<=1.25,mean<=0.25",PASS
2,1024,11008,fused_quarot,fp16_baseline,11.87890625,2.2669517993927,4.945635795593262,"max<=1.25,mean<=0.25",NA_quantization_drift
2,1024,11008,fused_quarot,quarot_unfused,0.185791015625,0.03346532583236694,0.10302123427391052,"max<=1.25,mean<=0.25",PASS
2,1024,14336,fp16_baseline,fp16_baseline,0.0,0.0,0.0,"max<=1.25,mean<=0.25",PASS
2,1024,14336,quarot_unfused,fp16_baseline,12.42578125,2.5283260345458984,9.84794807434082,"max<=1.25,mean<=0.25",NA_quantization_drift
2,1024,14336,quarot_unfused,quarot_unfused,0.0,0.0,0.0,"max<=1.25,mean<=0.25",PASS
2,1024,14336,fused_quarot,fp16_baseline,12.44921875,2.5285258293151855,9.901747703552246,"max<=1.25,mean<=0.25",NA_quantization_drift
2,1024,14336,fused_quarot,quarot_unfused,0.181640625,0.038970887660980225,6.001336097717285,"max<=1.25,mean<=0.25",PASS
2,4096,11008,fp16_baseline,fp16_baseline,0.0,0.0,0.0,"max<=1.25,mean<=0.25",PASS
2,4096,11008,quarot_unfused,fp16_baseline,11.875,2.2707085609436035,5.6341753005981445,"max<=1.25,mean<=0.25",NA_quantization_drift
2,4096,11008,quarot_unfused,quarot_unfused,0.0,0.0,0.0,"max<=1.25,mean<=0.25",PASS
2,4096,11008,fused_quarot,fp16_baseline,11.88671875,2.270740032196045,5.631348133087158,"max<=1.25,mean<=0.25",NA_quantization_drift
2,4096,11008,fused_quarot,quarot_unfused,0.07275390625,0.014020588248968124,4.575388431549072,"max<=1.25,mean<=0.25",PASS
2,4096,14336,fp16_baseline,fp16_baseline,0.0,0.0,0.0,"max<=1.25,mean<=0.25",PASS
2,4096,14336,quarot_unfused,fp16_baseline,12.50390625,2.5269980430603027,5.505461692810059,"max<=1.25,mean<=0.25",NA_quantization_drift
2,4096,14336,quarot_unfused,quarot_unfused,0.0,0.0,0.0,"max<=1.25,mean<=0.25",PASS
2,4096,14336,fused_quarot,fp16_baseline,12.51171875,2.5267953872680664,5.495809555053711,"max<=1.25,mean<=0.25",NA_quantization_drift
2,4096,14336,fused_quarot,quarot_unfused,0.119140625,0.023687221109867096,6.685545444488525,"max<=1.25,mean<=0.25",PASS
4,10,11008,fp16_baseline,fp16_baseline,0.0,0.0,0.0,"max<=1.25,mean<=0.25",PASS
4,10,11008,quarot_unfused,fp16_baseline,13.26171875,2.4422836303710938,66.43318939208984,"max<=1.25,mean<=0.25",NA_quantization_drift
4,10,11008,quarot_unfused,quarot_unfused,0.0,0.0,0.0,"max<=1.25,mean<=0.25",PASS
4,10,11008,fused_quarot,fp16_baseline,13.65234375,2.442551612854004,103.89488220214844,"max<=1.25,mean<=0.25",NA_quantization_drift
4,10,11008,fused_quarot,quarot_unfused,0.9462890625,0.18092593550682068,32.713096618652344,"max<=1.25,mean<=0.25",PASS
4,10,14336,fp16_baseline,fp16_baseline,0.0,0.0,0.0,"max<=1.25,mean<=0.25",PASS
4,10,14336,quarot_unfused,fp16_baseline,13.94140625,2.7234461307525635,199.60018920898438,"max<=1.25,mean<=0.25",NA_quantization_drift
4,10,14336,quarot_unfused,quarot_unfused,0.0,0.0,0.0,"max<=1.25,mean<=0.25",PASS
4,10,14336,fused_quarot,fp16_baseline,14.2578125,2.726269006729126,196.232666015625,"max<=1.25,mean<=0.25",NA_quantization_drift
4,10,14336,fused_quarot,quarot_unfused,1.16796875,0.20129550993442535,4.13826322555542,"max<=1.25,mean<=0.25",PASS
4,128,11008,fp16_baseline,fp16_baseline,0.0,0.0,0.0,"max<=1.25,mean<=0.25",PASS
4,128,11008,quarot_unfused,fp16_baseline,13.40625,2.415740728378296,279.6910400390625,"max<=1.25,mean<=0.25",NA_quantization_drift
4,128,11008,quarot_unfused,quarot_unfused,0.0,0.0,0.0,"max<=1.25,mean<=0.25",PASS
4,128,11008,fused_quarot,fp16_baseline,13.6171875,2.4131815433502197,268.5534362792969,"max<=1.25,mean<=0.25",NA_quantization_drift
4,128,11008,fused_quarot,quarot_unfused,0.62158203125,0.11194199323654175,8.094331741333008,"max<=1.25,mean<=0.25",PASS
4,128,14336,fp16_baseline,fp16_baseline,0.0,0.0,0.0,"max<=1.25,mean<=0.25",PASS
4,128,14336,quarot_unfused,fp16_baseline,12.88671875,2.6734580993652344,5.568877220153809,"max<=1.25,mean<=0.25",NA_quantization_drift
4,128,14336,quarot_unfused,quarot_unfused,0.0,0.0,0.0,"max<=1.25,mean<=0.25",PASS
4,128,14336,fused_quarot,fp16_baseline,12.8125,2.673949718475342,5.600360870361328,"max<=1.25,mean<=0.25",NA_quantization_drift
4,128,14336,fused_quarot,quarot_unfused,0.75439453125,0.12311926484107971,15.606146812438965,"max<=1.25,mean<=0.25",PASS
4,1024,11008,fp16_baseline,fp16_baseline,0.0,0.0,0.0,"max<=1.25,mean<=0.25",PASS
4,1024,11008,quarot_unfused,fp16_baseline,13.48046875,2.400521993637085,5.31648063659668,"max<=1.25,mean<=0.25",NA_quantization_drift
4,1024,11008,quarot_unfused,quarot_unfused,0.0,0.0,0.0,"max<=1.25,mean<=0.25",PASS
4,1024,11008,fused_quarot,fp16_baseline,13.4453125,2.400228977203369,5.206644058227539,"max<=1.25,mean<=0.25",NA_quantization_drift
4,1024,11008,fused_quarot,quarot_unfused,0.2109375,0.036509133875370026,0.12028734385967255,"max<=1.25,mean<=0.25",PASS
4,1024,14336,fp16_baseline,fp16_baseline,0.0,0.0,0.0,"max<=1.25,mean<=0.25",PASS
4,1024,14336,quarot_unfused,fp16_baseline,12.828125,2.664029121398926,7.983043670654297,"max<=1.25,mean<=0.25",NA_quantization_drift
4,1024,14336,quarot_unfused,quarot_unfused,0.0,0.0,0.0,"max<=1.25,mean<=0.25",PASS
4,1024,14336,fused_quarot,fp16_baseline,12.83203125,2.663419008255005,7.9966583251953125,"max<=1.25,mean<=0.25",NA_quantization_drift
4,1024,14336,fused_quarot,quarot_unfused,0.181640625,0.03873724490404129,3.0466694831848145,"max<=1.25,mean<=0.25",PASS
4,4096,11008,fp16_baseline,fp16_baseline,0.0,0.0,0.0,"max<=1.25,mean<=0.25",PASS
4,4096,11008,quarot_unfused,fp16_baseline,13.3125,2.401303291320801,5.748187065124512,"max<=1.25,mean<=0.25",NA_quantization_drift
4,4096,11008,quarot_unfused,quarot_unfused,0.0,0.0,0.0,"max<=1.25,mean<=0.25",PASS
4,4096,11008,fused_quarot,fp16_baseline,13.26953125,2.401097297668457,5.7445969581604,"max<=1.25,mean<=0.25",NA_quantization_drift
4,4096,11008,fused_quarot,quarot_unfused,0.114990234375,0.01884959265589714,2.3174967765808105,"max<=1.25,mean<=0.25",PASS
